Year,Funder,State,Money
2020,AGRI BEEF CO,Idaho,72000
2019,AGRI BEEF CO,Idaho,72000
2017,AGRI BEEF CO,Idaho,72000
2023,AGRI BEEF CO,Idaho,72000
2021,LKQ Corporation,Illinois,72000
2020,DENTA QUEST,Massachusetts,72000
2021,NW NATURAL GAS,Oregon,72000
2023,"Ash Grove Cement Co., a CRH Company",Oregon,72000
2019,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,72000
2018,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,72000
2017,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,72000
2016,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,72000
2023,Acadia Healthcare,Tennessee,72000
2023,"U.S. Anesthesia Partners, Inc.",Texas,72000
2023,The Williams Companies,Texas,72000
2022,LifePoint Health,Tennessee,72000
2022,Acadia Healthcare,Tennessee,72000
2021,LifePoint Health,Tennessee,72000
2021,Acadia Healthcare,Tennessee,72000
2020,SmileDirectClub,Tennessee,72000
2020,LifePoint Health,Tennessee,72000
2018,"Youth Villages, Inc.",Tennessee,72000
2022,"U.S. Anesthesia Partners, Inc.",Texas,72000
2021,"U.S. Anesthesia Partners, Inc.",Texas,72000
2020,"U.S. Anesthesia Partners, Inc.",Texas,72000
2019,"U.S. Anesthesia Partners, Inc.",Texas,72000
2018,Crown Castle and Affiliates ,Texas,72000
2021,"Stride, Inc.",Virginia,72000
2021,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,72000
2023,"Stride, Inc.",Virginia,72000
2019,DENTA QUEST,Massachusetts,71993.75
2020,UNION PACIFIC RAILROAD CO,Oregon,71992
2016,WALGREENS,Illinois,71803.77
2022,HEALTHCARE DISTRIBUTION ALLIANCE c/o MultiState Associates LLC,Virginia,71720.23
2018,DENTA QUEST,Massachusetts,71641.79
2021,Rivian Automotive LLC,Michigan,71555
2023,Tobacco-Free Action Fund ,District of Columbia,71500
2023,HEALTHCARE DISTRIBUTION ALLIANCE c/o MultiState Associates LLC,Virginia,71150.62
2020,"National Grid USA Service Company, Inc.",Oregon,71016.16
2023,"National Shooting Sports Foundation, Inc.",Connecticut,71000
2020,Marathon Petroleum Corporation and its Subsidiaries,California,70700
2020,WALGREENS,Illinois,70611.08
2022,New Venture Fund,District of Columbia,70589.5
2023,THE COLLEGE BOARD,New York,70525
2016,ALKERMES PLC,Massachusetts,70320
2018,MERCK SHARP & DOHME LLC & AFFILIATES,California,70051.99
2021,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,70000
2022,ANHEUSER-BUSCH COMPANIES INC,Missouri,69999.96
2020,ANHEUSER-BUSCH COMPANIES INC,Missouri,69999.96
2022,Progressive,Ohio,69999.96
2021,Progressive,Ohio,69999.96
2020,Progressive,Ohio,69999.96
2019,Progressive,Ohio,69999.96
2018,Progressive,Ohio,69999.96
2017,Progressive,Ohio,69999.96
2016,Progressive,Ohio,69999.96
2023,Progressive,Ohio,69999.96
2022,EDELSON PC,Illinois,69996
2021,EDELSON PC,Illinois,69996
2020,EDELSON PC,Illinois,69996
2019,EDELSON PC,Illinois,69996
2023,EDELSON PC,Illinois,69996
2017,MASTERCARD WORLDWIDE,New York,69996
2016,MASTERCARD WORLDWIDE,New York,69996
2020,GLAXO SMITHKLINE,Colorado,69504.87
2021,ANHEUSER-BUSCH COMPANIES INC,Missouri,69166.63
2023,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,69121.97
2023,Twelve,California,69000
2022,"DirecTV, LLC",California,69000
2016,"AMERESCO, INC.",District of Columbia,69000
2022,Unisys Corporation,Pennsylvania,69000
2020,TEKNI-PLEX,Pennsylvania,69000
2022,"ASTELLAS PHARMA US, INC.",District of Columbia,68880
2021,"Prime Therapeutics, LLC",Minnesota,68344.68
2019,GLAXO SMITHKLINE,Colorado,68249.99
2016,Google LLC and its Affiliates,California,68167.23
2020,Secure Democracy,District of Columbia,68076
2022,PHILLIPS 66,California,68066.67
2023,Exact Sciences Corp.,Wisconsin,68000
2022,UNION PACIFIC RAILROAD CO,Oregon,67992
2021,UNION PACIFIC RAILROAD CO,Oregon,67992
2018,UNION PACIFIC RAILROAD CO,Oregon,67992
2021,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,67979.01
2021,SHELL OIL CO,California,67924.32
2020,SHELL OIL CO,California,67924.32
2019,SHELL OIL CO,California,67924.32
2018,SHELL OIL CO,California,67924.32
2017,SHELL OIL CO,California,67924.32
2017,Kapstone Paper and Packaging d/b/a WestRock,Georgia,67924.32
2021,Expedia Group,District of Columbia,67883
2021,Port of Hood River,Oregon,67857.16
2021,TECHNOLOGY NETWORK,California,67812
2023,NOVO NORDISK INC,New Jersey,67750
2019,THE COLLEGE BOARD,New York,67750
2017,EVICORE HEALTHCARE,South Carolina,67500.04
2017,Fresenius Medical Care,California,67500
2022,"Connections Health Solutions (thru National Strategies, LLC)",District of Columbia,67500
2018,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,67500
2016,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,67500
2023,BSA - THE SOFTWARE ALLIANCE ,District of Columbia,67500
2022,Cengage Learning Inc,Massachusetts,67500
2019,"Acentra Health, including affiliated entity CNSI",Virginia,67500
2019,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,67324.92
2018,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,67324.92
2018,EBAY INC,California,67300
2023,"ASTELLAS PHARMA US, INC.",District of Columbia,67187.4
2022,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,67128.68
2022,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,67083.36
2019,UNION PACIFIC RAILROAD CO,Oregon,66992
2023,UNION PACIFIC RAILROAD CO,Oregon,66992
2023,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,66800.38
2022,THE COLLEGE BOARD,New York,66769.57
2021,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,66750
2020,MERCK SHARP & DOHME LLC & AFFILIATES,California,66690.77
2017,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,66660
2021,MERCK SHARP & DOHME LLC & AFFILIATES,California,66648.27
2022,HAMPTON TREE FARMS LLC,Oregon,66519.57
2023,The Pew Charitable Trusts,District of Columbia,66410.51
2019,WA WHOLESALE DRUGGIST ASSN,Ohio,66376.92
2020,The Toy Association,Arizona,66375
2018,WA WHOLESALE DRUGGIST ASSN,Ohio,66305.24
2023,"Connections Health Solutions (thru National Strategies, LLC)",District of Columbia,66300
2017,Cerner Corporation,Missouri,66250
2021,"National Shooting Sports Foundation, Inc.",Connecticut,66119
2020,WA WHOLESALE DRUGGIST ASSN,Ohio,66087.27
2021,EBAY INC,California,66000
2020,PFIZER INC,California,66000
2020,EBAY INC,California,66000
2019,PFIZER INC,California,66000
2019,EBAY INC,California,66000
2018,PFIZER INC,California,66000
2017,PFIZER INC,California,66000
2017,EBAY INC,California,66000
2016,EBAY INC,California,66000
2023,"Lucid USA, Inc",California,66000
2023,PMI Global Services Inc. and Affiliates,California,66000
2023,EBAY INC,California,66000
2022,EBAY INC,California,66000
2022,Tobacco-Free Action Fund,District of Columbia,66000
2022,MALLINCKRODT PHARMACEUTICALS,District of Columbia,66000
2022,Philips North America,District of Columbia,66000
2021,MALLINCKRODT PHARMACEUTICALS,District of Columbia,66000
2016,AMERICAS HEALTH INSURANCE PLANS,District of Columbia,66000
2016,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,66000
2023,"Drivewyze, Inc. (thru National Strategies, LLC)",District of Columbia,66000
2016,TAKEDA PHARMACEUTICALS,Illinois,66000
2016,FANTASY SPORTS TRADE ASSN,Illinois,66000
2022,Food Northwest,Oregon,66000
2019,Food Northwest,Oregon,66000
2023,Food Northwest,Oregon,66000
2022,"Stride, Inc.",Virginia,66000
2020,"Stride, Inc.",Virginia,66000
2019,"Stride, Inc.",Virginia,66000
2018,"Stride, Inc.",Virginia,66000
2017,"Stride, Inc.",Virginia,66000
2019,ANHEUSER-BUSCH COMPANIES INC,Missouri,65833.31
2021,"Medical Evaluation Specialists, LLC",Massachusetts,65454.48
2022,"Medical Evaluation Specialists, LLC",Massachusetts,65454
2021,THE COLLEGE BOARD,New York,65127.52
2021,Chevron U.S.A. Inc. and Affiliates,California,65112.59
2016,Aetna,District of Columbia,65100
2020,THE COLLEGE BOARD,New York,65059
2017,MOTOR VEHICLE SOFTWARE CORP,California,65000
2023,Association for Accessible Medicines,District of Columbia,65000
2023,INVENERGY,Illinois,65000
2022,Blue Wolf Capital Partners LLC,New York,65000
2018,"Diageo North America, Inc.",New York,65000
2019,NW GROCERY ASSN,Oregon,65000
2016,AVALON HEALTH CARE INC,Utah,64993
2017,UNION PACIFIC RAILROAD CO,Oregon,64825.36
2016,"Ash Grove Cement Co., a CRH Company",Oregon,64800
2021,WALGREENS,Illinois,64777.76
2019,"Honeywell International, Inc.",District of Columbia,64684
2019,"Novartis Services, Inc. ",District of Columbia,64574.96
2018,ARTHRITIS FOUNDATION,District of Columbia,64500
2020,Sourcewell,Minnesota,64500
2019,Socati Corp.,Oregon,64252
2018,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,64000
2023,Marine Engineers' Beneficial Association,District of Columbia,64000
2019,"Lamb Weston, Inc",Idaho,64000
2018,ABBVIE INC,Illinois,64000
2020,ALKERMES PLC,Massachusetts,64000
2021,SmileDirectClub,Tennessee,64000
2019,AVALON HEALTH CARE INC,Utah,63996
2018,AVALON HEALTH CARE INC,Utah,63996
2023,HAMPTON TREE FARMS LLC,Oregon,63991.65
2017,MERCK SHARP & DOHME LLC & AFFILIATES,California,63963.79
2017,AVALON HEALTH CARE INC,Utah,63824
2019,Neste US Inc,Virginia,63750
2020,Chevron U.S.A. Inc. and Affiliates,California,63628.59
2019,CVS HEALTH,District of Columbia,63539.45
2018,"Novartis Services, Inc. ",District of Columbia,63474.96
2019,"Meta Platforms, Inc.",California,63353.37
2020,Aetna,District of Columbia,63333.33
2020,Start Early,Illinois,63200
2021,Cascade AIDS Project,Oregon,63184
2018,TECHNOLOGY NETWORK,California,63089.54
2019,BRISTOL-MYERS SQUIBB CO,District of Columbia,63069.96
2021,APPLE INC,California,63000
2019,Republic National Distributing Company,California,63000
2017,Space Exploration Technologies Corp. (SpaceX),California,63000
2022,RELX INC,District of Columbia,63000
2021,"Supernal, LLC",District of Columbia,63000
2021,RELX INC,District of Columbia,63000
2020,RELX INC,District of Columbia,63000
2019,RELX INC,District of Columbia,63000
2018,RELX INC,District of Columbia,63000
2017,RELX INC,District of Columbia,63000
2023,RELX INC,District of Columbia,63000
2021,Sourcewell,Minnesota,63000
2022,PRE-PAID LEGAL SERVICES INC,Oklahoma,63000
2022,APPLE INC,California,62956.8
2020,Pediatrix Medical Group,Florida,62890.81
2020,"Salesforce, Inc.",California,62771.8
2018,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,62692.24
2022,MERCK SHARP & DOHME LLC & AFFILIATES,California,62561.17
2018,Pediatrix Medical Group,Florida,62501.99
2016,The Toy Association,Arizona,62500
2022,FRED MEYER (OXLEY & ASSOC),Oregon,62400
2019,Sunovion Pharmaceuticals Inc.,Massachusetts,62391.85
2017,Google LLC and its Affiliates,California,62390.62
2019,Chevron U.S.A. Inc. and Affiliates,California,62322.41
2022,ChargePoint Inc,California,62320.87
2020,APPLE INC,California,62186.37
2023,Washington Pork Producers Council thru MultiState Associates LLC,Virginia,62000
2019,"Prime Therapeutics, LLC",Minnesota,61957.7
2020,United Rentals c/o MultiState Associates Inc.,Virginia,61928
2022,Chevron U.S.A. Inc. and Affiliates,California,61710.19
2022,Expedia Group,District of Columbia,61650
2022,Turo Inc.,California,61500
2022,Waterford.org,Utah,61500
2021,FRED MEYER (OXLEY & ASSOC),Oregon,61400
2023,TESLA,California,61389.43
2021,"Salesforce, Inc.",California,61238.46
2023,"Salesforce, Inc.",California,61203.34
2018,"ASTELLAS PHARMA US, INC.",District of Columbia,61153.8
2020,Expedia Group,District of Columbia,61120
2019,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,61000.46
2019,"ReviverMx, Inc.",California,61000
2017,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,61000
2019,McDonalds Corporation,Illinois,60999.96
2020,AMERICAN INTERNATIONAL GROUP INC ,New York,60872.91
2023,MERCK SHARP & DOHME LLC & AFFILIATES,California,60866.65
2022,"Salesforce, Inc.",California,60851.44
2018,Fresenius Medical Care,California,60750
2016,SHELL OIL CO,California,60660.36
2023,"STAND FOR CHILDREN, INC.",Oregon,60571.32
2017,WA WHOLESALE DRUGGIST ASSN,Ohio,60525.7
2023,APPLE INC,California,60521.16
2021,"CISCO SYSTEMS, INC.",California,60500
2017,"Diageo North America, Inc.",New York,60500
2016,WA WHOLESALE DRUGGIST ASSN,Ohio,60500
2023,International Bottled Water Association,Virginia,60500
2022,Center for Sustainable Energy,California,60304.05
2023,Center for Sustainable Energy,California,60202.5
2016,BANK OF AMERICA CORP,Delaware,60144.24
2018,BANK OF AMERICA CORP,Delaware,60123.2
2021,BANK OF AMERICA CORP,Delaware,60113.22
2023,BANK OF AMERICA CORP,Delaware,60109.26
2023,Expedia Group,District of Columbia,60100
2016,"Novartis Services, Inc. ",District of Columbia,60099.96
2022,BANK OF AMERICA CORP,Delaware,60072.84
2018,"Meta Platforms, Inc.",California,60069.11
2021,PFIZER INC,California,60005.93
2019,TEKNI-PLEX,Pennsylvania,60000.03
2021,Delta Air Lines,California,60000
2021,"Okta, Inc.",California,60000
2020,Delta Air Lines,California,60000
2020,MedImpact Healthcare Systems Inc.,California,60000
2020,Postmates,California,60000
2019,Delta Air Lines,California,60000
2019,Google LLC and its Affiliates,California,60000
2019,Fresenius Medical Care,California,60000
2018,Delta Air Lines,California,60000
2018,Google LLC and its Affiliates,California,60000
2017,"Meta Platforms, Inc.",California,60000
2017,Zenefits,California,60000
2016,MOTOR VEHICLE SOFTWARE CORP,California,60000
2023,Delta Air Lines,California,60000
2023,"CISCO SYSTEMS, INC.",California,60000
2023,AIDS Healthcare Foundation,California,60000
2023,Andrea Lee Wang,California,60000
2023,"Binti, Inc.",California,60000
2023,Turo Inc.,California,60000
2023,Adobe Inc.,California,60000
2022,Delta Air Lines,California,60000
2022,"CISCO SYSTEMS, INC.",California,60000
2022,"Getaround, Inc.",California,60000
2022,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,60000
2022,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2022,"Toyota Motor North America, Inc.",District of Columbia,60000
2022,Association for Accessible Medicines,District of Columbia,60000
2022,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,60000
2022,Growth Energy,District of Columbia,60000
2021,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,60000
2021,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2021,"Toyota Motor North America, Inc.",District of Columbia,60000
2021,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,60000
2020,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2020,"Toyota Motor North America, Inc.",District of Columbia,60000
2020,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,60000
2019,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2019,MALLINCKRODT PHARMACEUTICALS,District of Columbia,60000
2019,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,60000
2019,Growth Energy,District of Columbia,60000
2018,Growth Energy,District of Columbia,60000
2017,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2017,"ASTELLAS PHARMA US, INC.",District of Columbia,60000
2016,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2016,"ASTELLAS PHARMA US, INC.",District of Columbia,60000
2020,BANK OF AMERICA CORP,Delaware,60000
2019,BANK OF AMERICA CORP,Delaware,60000
2017,BANK OF AMERICA CORP,Delaware,60000
2023,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,60000
2023,Coalition for Genetic Data Protection,District of Columbia,60000
2023,"Toyota Motor North America, Inc.",District of Columbia,60000
2023,BIOTECHNOLOGY INNOVATION ORGANIZATION,District of Columbia,60000
2023,Growth Energy,District of Columbia,60000
2023,"Scientific Games, LLC",Georgia,60000
2018,AGRI BEEF CO,Idaho,60000
2022,"McCain Foods USA, Inc",Illinois,60000
2023,"McCain Foods USA, Inc",Illinois,60000
2023,Bamboo Health,Kentucky,60000
2022,NIC Inc.,Kansas,60000
2020,"Medical Evaluation Specialists, LLC",Massachusetts,60000
2023,"Divert, Inc.",Massachusetts,60000
2021,"Magellan Health, Inc.",Maryland,60000
2020,"Magellan Health, Inc.",Maryland,60000
2016,TOTAL WINE & MORE,Maryland,60000
2023,Polaris,Minnesota,60000
2020,Cerner Corporation,Missouri,60000
2019,Cerner Corporation,Missouri,60000
2018,ANHEUSER-BUSCH COMPANIES INC,Missouri,60000
2018,Cerner Corporation,Missouri,60000
2017,ANHEUSER-BUSCH COMPANIES INC,Missouri,60000
2016,ANHEUSER-BUSCH COMPANIES INC,Missouri,60000
2023,"Horizon Therapeutics USA, Inc.",Nevada,60000
2023,New York Life Insurance Company,New York,60000
2019,Celgene Corporation,New Jersey,60000
2022,"Horizon Therapeutics USA, Inc.",Nevada,60000
2016,UNITED HEALTH GROUP,Nevada,60000
2022,New York Life Insurance Company,New York,60000
2022,"Diageo North America, Inc.",New York,60000
2020,"Diageo North America, Inc.",New York,60000
2019,"Diageo North America, Inc.",New York,60000
2022,"Safelite Group, Inc.",Ohio,60000
2021,"Safelite Group, Inc.",Ohio,60000
2023,"Safelite Group, Inc.",Ohio,60000
2022,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2022,LEGACY HEALTH SYSTEM,Oregon,60000
2022,VertueLab,Oregon,60000
2021,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2021,LEGACY HEALTH SYSTEM,Oregon,60000
2021,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2020,NW NATURAL GAS,Oregon,60000
2020,"Presidio Networked Solutions Group, LLC",Oregon,60000
2020,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2020,LEGACY HEALTH SYSTEM,Oregon,60000
2020,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2019,NW NATURAL GAS,Oregon,60000
2019,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2019,LEGACY HEALTH SYSTEM,Oregon,60000
2019,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2018,NW NATURAL GAS,Oregon,60000
2018,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2018,Food Northwest,Oregon,60000
2018,LEGACY HEALTH SYSTEM,Oregon,60000
2018,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2017,"Ash Grove Cement Co., a CRH Company",Oregon,60000
2017,Food Northwest,Oregon,60000
2017,LEGACY HEALTH SYSTEM,Oregon,60000
2017,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2016,Food Northwest,Oregon,60000
2016,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2023,VertueLab,Oregon,60000
2023,LEGACY HEALTH SYSTEM,Oregon,60000
2023,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,60000
2022,"Omega Flex, Inc.",Pennsylvania,60000
2018,SAP PUBLIC SERVICES INC,Pennsylvania,60000
2017,AMERIHEALTH CARITAS,Pennsylvania,60000
2017,SAP PUBLIC SERVICES INC,Pennsylvania,60000
2016,AMERIHEALTH CARITAS,Pennsylvania,60000
2023,"TC ENERGY, GAS TRANSMISSION NORHTWEST, LLC",Texas,60000
2023,HF Sinclair,Texas,60000
2022,"Youth Villages, Inc.",Tennessee,60000
2021,"Youth Villages, Inc.",Tennessee,60000
2022,HF Sinclair,Texas,60000
2021,The Williams Companies,Texas,60000
2021,"TC ENERGY, GAS TRANSMISSION NORHTWEST, LLC",Texas,60000
2020,The Williams Companies,Texas,60000
2019,The Williams Companies,Texas,60000
2018,The Williams Companies,Texas,60000
2018,"U.S. Anesthesia Partners, Inc.",Texas,60000
2018,"FirstCash, Inc. dba Cash America",Texas,60000
2017,"U.S. Anesthesia Partners, Inc.",Texas,60000
2017,"FirstCash, Inc. dba Cash America",Texas,60000
2016,The Williams Companies,Texas,60000
2022,1-800 CONTACTS,Utah,60000
2023,1-800 CONTACTS,Utah,60000
2022,ADP Total Source Inc,Virginia,60000
2022,International Bottled Water Association,Virginia,60000
2022,QUEST DIAGNOSTICS,Virginia,60000
2022,Wireless Infrastructure Association (thru MultiState Associates LLC),Virginia,60000
2022,Dell Technologies Inc. c/o 50 to 1 LLC,Virginia,60000
2022,Inmar c/o MulitState Associates Inc.,Virginia,60000
2022,"Acentra Health, including affiliated entity CNSI",Virginia,60000
2022,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,60000
2021,ADP Total Source Inc,Virginia,60000
2021,International Bottled Water Association,Virginia,60000
2021,QUEST DIAGNOSTICS,Virginia,60000
2021,Wireless Infrastructure Association (thru MultiState Associates LLC),Virginia,60000
2021,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,60000
2021,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,60000
2021,"Acentra Health, including affiliated entity CNSI",Virginia,60000
2020,ADP Total Source Inc,Virginia,60000
2020,International Bottled Water Association,Virginia,60000
2020,QUEST DIAGNOSTICS,Virginia,60000
2019,ADP Total Source Inc,Virginia,60000
2019,QUEST DIAGNOSTICS,Virginia,60000
2018,QUEST DIAGNOSTICS,Virginia,60000
2018,ADP Total Source Inc,Virginia,60000
2017,QUEST DIAGNOSTICS,Virginia,60000
2016,"Stride, Inc.",Virginia,60000
2023,National Electrical Manufacturers Association (NEMA) c/o MultiState Associates LLC,Virginia,60000
2023,QUEST DIAGNOSTICS ,Virginia,60000
2023,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,60000
2023,Dell Technologies Inc. c/o 50 to 1 LLC,Virginia,60000
2023,Sports Betting Alliance,Virginia,60000
2022,S. C. Johnson & Son,Wisconsin,60000
2023,S. C. Johnson & Son,Wisconsin,60000
2020,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,59999.97
2021,1-800 CONTACTS,Utah,59999.95
2019,AMERICAN RECYCLABLE PLASTIC BAG ALLIANCE,District of Columbia,59500
2023,AMERICAN INTERNATIONAL GROUP INC ,New York,59500
2016,LEGACY HEALTH SYSTEM,Oregon,59500
2023,Household and Commercial Products Assn,District of Columbia,59300
2018,McDonalds Corporation,Illinois,59250.96
2020,Justice Action Network,District of Columbia,59098.34
2023,"Axon Enterprise, Inc.",California,59000
2022,Household and Commercial Products Assn,District of Columbia,59000
2022,The Williams Companies,Texas,59000
2017,Expedia Group,District of Columbia,58800
2022,findhelp,Texas,58750
2017,"Novartis Services, Inc. ",District of Columbia,58399.96
2022,BRISTOL-MYERS SQUIBB CO,District of Columbia,58279.02
2022,PFIZER INC,California,58182.94
2023,ASSN OF DENTAL SUPPORT ORGANIZATIONS,District of Columbia,58140
2018,THE COLLEGE BOARD,New York,58001.99
2019,GILEAD SCIENCES INC,California,58000
2020,"Novartis Services, Inc. ",District of Columbia,57974.96
2023,National Association of Wine Retailers,Oregon,57750
2023,StubHub,New York,57500
2020,American Rental Assn (Thru MultiState),Virginia,57500
2021,Sunovion Pharmaceuticals Inc.,Massachusetts,57266
2022,Organon LLC,California,57258
2021,TESLA,California,57199.86
2016,"College Parent, L.P. dba ""Yahoo""",Virginia,57005
2022,Twelve,California,57000
2020,"Youth Villages, Inc.",Tennessee,57000
2021,"Novartis Services, Inc. ",District of Columbia,56749.96
2017,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,56587
2019,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,56344.8
2023,PFIZER INC,California,56196.28
2018,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,56004
2019,Marathon Petroleum Corporation and its Subsidiaries,California,56000
2022,DDC Public Affairs on behalf of Lockheed Martin,District of Columbia,56000
2018,"US Ecology Washington, Inc.",Idaho,56000
2023,Renewable Hydrogen Alliance,Oregon,56000
2022,Swedish Match North America LLC,Virginia,56000
2023,Swedish Match North America LLC,Virginia,56000
2023,"Acentra Health, including affiliated entity CNSI",Virginia,56000
2022,Exact Sciences Corp.,Wisconsin,56000
2022,Life Flight Network,Oregon,55992
2021,Life Flight Network,Oregon,55992
2023,Life Flight Network,Oregon,55992
2023,EMD Serono c/o MultiState Associates LLC,Virginia,55833.3
2017,THE COLLEGE BOARD,New York,55792.76
2018,"Acentra Health, including affiliated entity CNSI",Virginia,55532.93
2023,USAA,Texas,55420.92
2022,"Novartis Services, Inc. ",District of Columbia,55149.96
2017,ARTHRITIS FOUNDATION,District of Columbia,55072.29
2019,Association for Accessible Medicines,District of Columbia,55038.4
2018,Chevron U.S.A. Inc. and Affiliates,California,55000.08
2017,Chevron U.S.A. Inc. and Affiliates,California,55000.08
2018,ChargePoint Inc,California,55000
2022,"MED-Project WA, LLC",District of Columbia,55000
2020,MALLINCKRODT PHARMACEUTICALS,District of Columbia,55000
2017,Growth Energy,District of Columbia,55000
2016,RELX INC,District of Columbia,55000
2021,NIC Inc.,Kansas,55000
2022,"Magellan Health, Inc.",Maryland,55000
2022,KOCH GOVERNMENT AFFAIRS LLC & AFFILIATES,Oregon,55000
2023,West Coast Seafood Processors Association,Oregon,55000
2020,CGI TECHNOLOGIES & SOLUTIONS INC,Virginia,55000
2019,National Electrical Manufacturers Association (NEMA) c/o MultiState Associates LLC,Virginia,55000
2016,Chevron U.S.A. Inc. and Affiliates,California,54999.96
2023,"Novartis Services, Inc. ",District of Columbia,54999.96
2022,EMD Serono c/o MultiState Associates LLC,Virginia,54999.96
2021,EMD Serono c/o MultiState Associates LLC,Virginia,54999.96
2020,NATIONWIDE INSURANCE,Ohio,54872.91
2017,AMERICAN INSURANCE ASSN,Illinois,54868.09
2018,AMERICAN INSURANCE ASSN,Illinois,54765.08
2023,Start Early,Illinois,54750
2017,TECHNOLOGY NETWORK,California,54625.04
2020,"Axon Enterprise, Inc.",California,54607.68
2022,AMERICAN INTERNATIONAL GROUP INC ,New York,54600
2021,AMERICAN INTERNATIONAL GROUP INC ,New York,54600
2017,McDonalds Corporation,Illinois,54586.96
2021,"Global Payments, Inc.",Georgia,54500
2018,NW GROCERY ASSN,Oregon,54500
2016,AMERICAN INSURANCE ASSN,Illinois,54472.99
2019,SCI Shared Resources LLC,Texas,54351.48
2018,SCI Shared Resources LLC,Texas,54350.48
2017,Molson Coors Beverage Company USA LLC,California,54339.48
2017,SCI Shared Resources LLC,Texas,54339.48
2023,Crown Castle and Affiliates ,Texas,54136
2021,Internet Association,District of Columbia,54096.27
2020,Port of Hood River,Oregon,54060.88
2018,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,54000
2016,AMERICAN TRAFFIC SOLUTIONS INC,Arizona,54000
2021,"Axon Enterprise, Inc.",California,54000
2021,Republic National Distributing Company,California,54000
2020,SIGNATURE HEALTHCARE SERVICES LLC,California,54000
2020,Republic National Distributing Company,California,54000
2018,Marathon Petroleum Corporation and its Subsidiaries,California,54000
2017,PACIFIC MERCHANT SHIPPING ASSN,California,54000
2017,Marathon Petroleum Corporation and its Subsidiaries,California,54000
2016,PACIFIC MERCHANT SHIPPING ASSN,California,54000
2023,Palo Alto Networks,California,54000
2023,Cypress Creek Renewables,California,54000
